tage,0,0_kom,entries_fall,entries_hosp,entries_tod
2020-01-05,0.0,0.0,0.0,0.0,0.0
2020-01-12,4.0,8.0,0.0,0.0,0.0
2020-01-19,5.0,5.0,0.0,0.0,0.0
2020-01-26,19.0,137.0,0.0,0.0,0.0
2020-02-02,37.0,337.0,0.0,0.0,0.0
2020-02-09,43.0,185.0,0.0,0.0,0.0
2020-02-16,39.0,36.0,0.0,0.0,0.0
2020-02-23,45.0,172.0,0.0,0.0,0.0
2020-03-01,191.0,2378.0,56.0,52.0,0.0
2020-03-08,246.0,2537.0,376.0,111.0,3.0
2020-03-15,441.0,5429.0,2263.0,348.0,25.0
2020-03-22,561.0,5818.0,6558.0,836.0,99.0
2020-03-29,598.0,7776.0,7346.0,1161.0,254.0
2020-04-05,580.0,9427.0,6025.0,665.0,381.0
2020-04-12,455.0,6182.0,3599.0,363.0,343.0
2020-04-19,417.0,8912.0,1840.0,218.0,241.0
2020-04-26,412.0,8833.0,1167.0,106.0,194.0
2020-05-03,365.0,7669.0,699.0,64.0,89.0
2020-05-10,332.0,6750.0,402.0,31.0,54.0
2020-05-17,349.0,5750.0,231.0,25.0,17.0
2020-05-24,279.0,4779.0,154.0,15.0,14.0
2020-05-31,226.0,3449.0,126.0,19.0,4.0
2020-06-07,181.0,1710.0,99.0,5.0,1.0
2020-06-14,155.0,1737.0,140.0,7.0,4.0
2020-06-21,161.0,3134.0,171.0,17.0,2.0
2020-06-28,173.0,4582.0,357.0,17.0,1.0
2020-07-05,207.0,4621.0,684.0,38.0,2.0
2020-07-12,185.0,3056.0,635.0,54.0,2.0
2020-07-19,197.0,3146.0,715.0,35.0,4.0
2020-07-26,175.0,2635.0,826.0,58.0,5.0
2020-08-02,214.0,3036.0,1155.0,62.0,5.0
2020-08-09,177.0,2458.0,1100.0,49.0,5.0
2020-08-16,142.0,3914.0,1574.0,53.0,5.0
2020-08-23,115.0,2232.0,1855.0,51.0,5.0
2020-08-30,121.0,2049.0,2092.0,44.0,4.0
2020-09-06,106.0,1788.0,2456.0,72.0,13.0
2020-09-13,117.0,2643.0,2860.0,100.0,18.0
2020-09-20,108.0,2802.0,2905.0,104.0,15.0
2020-09-27,95.0,1310.0,2218.0,110.0,13.0
2020-10-04,122.0,2861.0,3463.0,161.0,11.0
2020-10-11,177.0,3608.0,8748.0,272.0,17.0
2020-10-18,174.0,4263.0,19482.0,626.0,46.0
2020-10-25,223.0,6046.0,39668.0,1175.0,143.0
2020-11-01,318.0,8232.0,55824.0,1568.0,317.0
2020-11-08,202.0,4381.0,51190.0,1605.0,548.0
2020-11-15,215.0,5767.0,39584.0,1460.0,609.0
2020-11-22,247.0,6067.0,30117.0,1269.0,605.0
2020-11-29,206.0,4887.0,26196.0,1172.0,605.0
2020-12-06,244.0,8683.0,27283.0,1127.0,598.0
2020-12-13,271.0,8727.0,30005.0,1187.0,600.0
2020-12-20,262.0,10661.0,29259.0,1120.0,635.0
2020-12-27,198.0,5417.0,23938.0,1077.0,588.0
2021-01-03,133.0,3991.0,16758.0,670.0,327.0
