tage,0,0_kom,entries_fall,entries_hosp,entries_tod
2020-01-01,,,,,
2020-01-02,,,,,
2020-01-03,,,,,
2020-01-04,,,,,
2020-01-05,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,2.0,3.0,,,
2020-01-10,,,,,
2020-01-11,1.0,5.0,,,
2020-01-12,1.0,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,1.0,,,,
2020-01-16,,,,,
2020-01-17,1.0,,,,
2020-01-18,2.0,3.0,,,
2020-01-19,1.0,2.0,,,
2020-01-20,1.0,1.0,,,
2020-01-21,3.0,,,,
2020-01-22,4.0,2.0,,,
2020-01-23,4.0,3.0,,,
2020-01-24,3.0,8.0,,,
2020-01-25,1.0,38.0,,,
2020-01-26,3.0,85.0,,,
2020-01-27,4.0,72.0,,,
2020-01-28,7.0,67.0,,,
2020-01-29,9.0,18.0,,,
2020-01-30,8.0,46.0,,,
2020-01-31,4.0,23.0,,,
2020-02-01,4.0,4.0,,,
2020-02-02,1.0,108.0,,,
2020-02-03,11.0,78.0,,,
2020-02-04,3.0,19.0,,,
2020-02-05,8.0,19.0,,,
2020-02-06,4.0,18.0,,,
2020-02-07,9.0,21.0,,,
2020-02-08,5.0,19.0,,,
2020-02-09,3.0,11.0,,,
2020-02-10,5.0,3.0,,,
2020-02-11,6.0,1.0,,,
2020-02-12,8.0,8.0,,,
2020-02-13,10.0,15.0,,,
2020-02-14,5.0,3.0,,,
2020-02-15,2.0,2.0,,,
2020-02-16,3.0,4.0,,,
2020-02-17,4.0,9.0,,,
2020-02-18,9.0,31.0,,,
2020-02-19,7.0,28.0,,,
2020-02-20,4.0,17.0,,,
2020-02-21,10.0,20.0,,,
2020-02-22,3.0,16.0,,,
2020-02-23,8.0,51.0,,,
2020-02-24,18.0,232.0,1,5.0,0
2020-02-25,18.0,271.0,1,4.0,0
2020-02-26,23.0,312.0,10,9.0,0
2020-02-27,33.0,365.0,10,5.0,0
2020-02-28,45.0,448.0,10,5.0,0
2020-02-29,27.0,465.0,13,14.0,0
2020-03-01,28.0,288.0,11,10.0,0
2020-03-02,39.0,234.0,30,13.0,0
